Patent,Cit_Date,Citation
6009596,1994-02-01,5287590
6009596,1994-03-01,5289611
6009596,1994-07-01,5330699
6009596,1994-08-01,5334000
6009596,1994-09-01,5349722
6009596,1994-12-01,5373606
6009596,1995-02-01,5388301
6009596,1995-04-01,5404614
6009596,1995-04-01,5406673
6009596,1995-07-01,5430910
6009596,1995-08-01,5443362
6009596,1995-10-01,5455983
6009596,1995-10-01,5455984
6009596,1995-11-01,5465455
6009596,1995-11-01,5469598
6009596,1996-06-01,5526547
6009596,1996-07-01,5535500
6009596,1996-09-01,5555597
6009596,1998-02-01,5715568
6009597,1976-10-01,3986742
6009597,1983-12-01,4419786
6009597,1986-12-01,4625417
6009597,1995-09-01,5446944
6009597,1995-09-01,5448797
6009597,1995-09-01,5448798
6009597,1998-09-01,5802671
6009597,1999-04-01,5895089
6009598,1996-08-01,5547053
6009598,1996-12-01,5581847
6009598,1997-04-01,5615757
6009598,1997-07-01,5647095
6009598,1998-02-01,5713441
6009598,1998-07-01,5781964
6009598,1998-09-01,5813504
6009599,1976-08-01,3973289
6009599,1983-05-01,4381877
6009600,1980-12-01,4236270
6009600,1985-01-01,4493494
6009600,1985-10-01,4548248
6009600,1986-09-01,4613156
6009600,1987-02-01,4641857
6009600,1987-08-01,4683784
6009600,1989-07-01,4850079
6009600,1989-11-01,4882956
6009600,1989-12-01,4885818
6009600,1990-06-01,4934024
6009600,1992-09-01,5149160
6009600,1996-07-01,5535484
6009600,1996-08-01,5546832
6009600,1996-12-01,5588343
6009600,1997-03-01,5606772
6009600,1997-04-01,5622352
6009600,1997-07-01,5647080
6009600,1997-10-01,5680676
6009600,1997-12-01,5692265
6009600,1998-01-01,5704259
6009601,1984-11-01,4480361
6009601,1985-03-01,4505007
6009601,1991-08-01,5042116
6009601,1993-10-01,5253394
6009601,1995-09-01,5451082
6009601,1996-05-01,5515581
6009602,1983-12-01,4422220
6009602,1992-10-01,5152036
6009603,1988-04-01,4736451
6009603,1993-05-01,5211481
6009603,1993-09-01,5248201
6009603,1994-03-01,5293672
6009603,1998-07-01,5774955
6009604,1995-01-01,5380238
6009605,1976-02-01,3936552
6009605,1976-04-01,3952121
6009605,1987-04-01,4657795
6009605,1988-12-01,4790052
6009605,1993-04-01,5203059
6009605,1993-06-01,5217770
6009605,1994-06-01,5323523
6009605,1996-05-01,5513423
6009605,1996-08-01,5546880
6009606,1977-08-01,4041584
6009606,1983-10-01,4408377
6009606,1985-10-01,4547934
6009606,1989-02-01,4807337
6009607,1978-09-01,4110895
6009607,1979-07-01,4160182
6009607,1986-05-01,4586236
6009607,1990-12-01,4979285
6009607,1991-12-01,5075150
6009607,1992-08-01,5142178
6009607,1993-11-01,5265320
6009607,1994-08-01,5338996
6009607,1994-09-01,5349740
6009607,1995-04-01,5406243
6009607,1998-05-01,5757108
6009608,1988-10-01,4776079
6009608,1989-11-01,4881434
6009609,1975-03-01,3871786
6009609,1977-07-01,4037429
6009609,1978-11-01,4124318
6009609,1978-12-01,4128022
6009609,1981-03-01,4259045
6009609,1981-12-01,4304501
6009609,1984-03-01,4437782
6009609,1985-04-01,4514108
6009609,1986-07-01,4598677
6009609,1990-04-01,4913681
6009609,1992-03-01,5098343
6009609,1992-04-01,5105517
6009609,1993-02-01,5186573
6009609,1996-12-01,5582489
6009609,1997-09-01,5665001
6009609,1997-11-01,5688067
6009610,1975-06-01,3889046
6009610,1978-11-01,4126498
6009610,1980-11-01,4234218
6009610,1981-10-01,4293178
6009610,1984-02-01,4431861
6009610,1984-08-01,4466846
6009610,1990-01-01,4896904
6009610,1990-05-01,4924034
6009611,1978-12-01,4127927
6009611,1979-07-01,4161332
6009611,1980-03-01,4192533
6009611,1982-03-01,4317585
6009611,1984-03-01,4438953
6009611,1984-04-01,4444421
6009611,1986-09-01,4614120
6009611,1987-10-01,4700576
6009611,1987-11-01,4703954
6009611,1987-12-01,4712815
6009611,1988-08-01,4762344
6009611,1991-05-01,5015132
6009611,1995-10-01,5454605
6009611,1998-08-01,5794985
6009612,1982-12-01,4364406
6009612,1983-01-01,4369836
6009612,1983-07-01,4394794
6009612,1996-05-01,5517744
6009612,1997-09-01,5661993
6009613,1986-09-01,4614019
6009613,1988-03-01,4728137
6009613,1991-08-01,5038464
6009613,1991-09-01,5044144
6009613,1992-02-01,5088784
6009613,1992-04-01,5105535
6009613,1992-06-01,5117688
6009613,1992-06-01,5119549
6009613,1992-06-01,5125254
6009613,1992-06-01,5125630
6009613,1992-11-01,5159747
6009613,1992-12-01,5174019
6009613,1993-01-01,5179855
6009613,1998-09-01,5809640
6009613,1998-10-01,5819399
6009614,1977-08-01,4043172
6009614,1983-04-01,4379397
6009614,1984-08-01,4468224
6009614,1986-03-01,4576142
6009614,1987-02-01,4644936
6009614,1987-07-01,4681092
6009614,1987-10-01,4697573
6009614,1990-02-01,4901707
6009614,1990-03-01,4907336
6009614,1992-07-01,5132066
6009614,1992-07-01,5133732
6009614,1993-02-01,5183085
6009614,1993-03-01,5189786
6009614,1995-08-01,5437083
6009614,1996-08-01,5546646
6009614,1997-05-01,5626604
6009614,1997-05-01,5630830
6009614,1997-08-01,5653691
6009614,1997-12-01,5695515
6009614,1998-04-01,5738674
6009614,1998-05-01,5746764
6009614,1998-07-01,5783227
6009614,1998-07-01,5785715
6009614,1998-08-01,5795289
6009614,1998-09-01,5810838
6009614,1998-11-01,5836952
6009614,1999-01-01,5860966
6009614,1999-04-01,5893852
6009615,1976-04-01,3952272
6009615,1985-08-01,4533890
6009615,1987-01-01,4635016
6009616,1985-12-01,4557685
6009616,1988-09-01,4768283
6009616,1993-08-01,5235737
6009616,1995-08-01,5437093
6009616,1996-02-01,5494433
6009616,1996-04-01,5507635
6009616,1996-04-01,5507636
6009616,1996-05-01,5518393
6009616,1996-10-01,5569475
6009616,1997-01-01,5591465
6009616,1997-03-01,5614233
6009616,1997-08-01,5658604
6009616,1998-01-01,5704113
6009616,1998-08-01,5795599
6009616,1998-10-01,5820899
6009616,1998-12-01,5851565
6009617,1989-07-01,4851618
6009618,1975-02-01,3866847
6009619,1992-05-01,5112230
6009619,1993-01-01,5181317
6009619,1993-06-01,5220487
6009619,1995-07-01,5434365
6009619,1995-09-01,5451720
6009619,1997-09-01,5665650
6009620,1977-04-01,4017968
6009620,1982-03-01,4319708
6009620,1987-07-01,4681649
6009620,1987-11-01,4704791
6009620,1988-12-01,4791248
6009620,1988-12-01,4792646
6009620,1990-10-01,4967314
6009620,1991-01-01,4983252
6009620,1991-04-01,5006182
6009620,1991-07-01,5028743
6009620,1992-05-01,5117069
6009620,1992-06-01,5118458
6009620,1992-09-01,5146674
6009620,1992-10-01,5153986
6009620,1993-07-01,5224265
6009620,1993-09-01,5243142
6009620,1993-12-01,5271150
6009620,1994-02-01,5288665
6009620,1994-09-01,5346750
6009620,1995-06-01,5421083
6009620,1995-08-01,5443672
6009620,1995-09-01,5450290
6009620,1995-09-01,5451722
6009620,1996-01-01,5487218
6009620,1996-09-01,5557844
6009620,1996-10-01,5568682
6009620,1996-11-01,5571593
